"Timestamp","¿Vas a asistir a la reunión preSAN para estudiantes de grado/doctorado/posdoctorado?","Edad","Seleccioná la opción que mejor te represente.","Seleccioná todas las opciones que correspondan","Ciudad, Provincia","Posición","¿Publicaste alguna búsqueda de estudiante para realizar tesina de licenciatura, candidate a beca doctoral o posdoctoral durante 2020/2021/2022?","En relación a dichas búsquedas durante 2020/2021/2022, ¿cuántas entrevistas concretaste?","En relación a dichas búsquedas y entrevistas, ¿cuántas personas finalmente tomaste para dirigir?","Durante 2020, 2021, 2022, ¿te escribieron estudiantes interesades en tu trabajo/laboratorio que no acudieron específicamente por un llamado publicado?","Contanos tus impresiones sobre el proceso de búsqueda de estudiantes durante el tiempo que llevás dirigiendo... ¿Cambió el número de personas que te contactan? ¿Te cuesta más o menos difundir tus búsquedas? ¿Sentís más o menos competencia con otras posibilidades laborales? ¿Es un asunto que te preocupa o no por ahora?","Carrera, Universidad","Actualmente, ¿estás trabajando en un laboratorio en el área de las neurociencias?","¿Hace cuánto tiempo estás trabajando en un laboratorio en el área de las neurociencias?","¿Ingresaste al laboratorio para realizar una tesis de licenciatura o trabajo final de grado?","¿Cuál es tu intención de realizar un doctorado  en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","Doctorado, Universidad","¿Qué tipo de beca tenés?","¿En qué estadío de tu doctorado estás?","¿Cuál es tu intención de realizar un posdoctorado en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Qué tipo de beca tenés?","¿En qué estadío de tu posdoctorado estás?","¿Cuál es tu intención de ingresar a carrera científica en Argentina en el área de las neurociencias?  (independientemente de que hagas o no un segundo posdoctorado)","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Con quién/quiénes conversas sobre tu futuro profesional?","¿Qué pensamientos/emociones te despierta tomar este tipo de decisiones?"
"2022/09/04 8:05:06 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","58","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e principal o superior","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","Sí","El número de personas que me contactan disminuyó notablemente desde 2020","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me gustan"
"2022/09/05 6:46:36 AM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","47","Soy varón cis","No corresponde ninguna de las opciones anteriores","Córdoba","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Ninguna, no encontré el perfil adecuado","Sí","Es un tema sumamente preocupante, si bien el sistema científico argentina ha crecido en los últimos tiempos, contrario a lo esperado se hace cada vez mas difícil conseguir personas que quieran sumarse a las líneas de laboratorio. Al mismo tiempo, ese crecimiento hace también cada vez mas competitiva las posibilidades de becas. Se intuye también un cambio post-pandemia respecto de los desafíos que implican la realización de una tesis (3-5 años de trabajo) no es atractivo para la generación ""milenians""; un deficit que atañe a laboratorios a nivel global, según parece para laboratorios del exterior también. ","","","","","","","","","","","","","","","","","","","","","","","","","Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Son decisiones difíciles tanto para quienes se suman a un laboratorio como para quienes reclutan a la persona. Se requiere un gran compromiso de ambas partes, y tomar estas decisiones originan en principio mucha ansiedad y estrés, pensar si uno esta a la altura de las expectativas de quienes se integran al grupo."
"2022/09/05 8:16:53 AM GMT-3","No, soy estudiante pero no puedo asistir.","39","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Medicina, UBA","Beca AGENCIA","5to año, no tengo opción de pedir prórroga // tengo opción de pedir prórroga pero no la voy a tomar","Tengo pocas intenciones de hacer un posdoctorado en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Tareas científicas en industrias;Tareas científicas en otros organismos públicos (Ej., BNDG);Tareas científicas en centros relacionados a la salud (Ej., análisis clínicos, genética, fertilidad)","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Incertidumbre"
"2022/09/05 8:25:13 AM GMT-3","Sí","25","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Cs. biológicas (Neurociencias). Exactas UBA","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Emocion, motivacion, incertidumbre, impotencia"
"2022/09/05 8:33:07 AM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","49","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e independiente","Sí","Entre 2 y 4 entrevistas","Ninguna, no encontré el perfil adecuado","Sí","Es muy difícil últimamente encontrar candiidates debido ( entre otros factores) a la falta de motivación y a los bajos salarios","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Desmotivación"
"2022/09/05 11:55:52 AM GMT-3","Probablemente sí","27","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencia, UBA","Beca AGENCIA","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Entusiasmo, ansiedad"
"2022/09/06 11:03:51 AM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","46","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","1","1","No","Veo una falta de interés (o menor interés) a realizar una carrera en el ámbito científico por parte de las nuevas generaciones, quizás debido a una mayor oferta de otras posibilidades laborales, sumado a menor compromiso  y a que cada vez se hace más difícil investigar en este ámbito (falta de subsidios, dificultad para la compra de material, etc) ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","no entiendo a qué tipo de decisiones se refiere la pregunta. Mi sentimiento en general sobre mi carrera y la actividad científico-académica en este momento es la frustración"
"2022/09/06 5:36:18 PM GMT-3","No, soy estudiante pero no puedo asistir.","31","Soy mujer cis","No corresponde ninguna de las opciones anteriores","La Plata/Buenos Aires pero estoy en EEUU","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","No tengo beca","60-100%","Tengo algunas intenciones de ingresar a carrera científica en el área de las neurociencias.","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Angustia, nervios, inseguridad, ganas de contribuir con el país, escepticismo "
"2022/09/07 12:12:54 PM GMT-3","Probablemente sí","26","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Ansiedad"
"2022/09/07 12:21:46 PM GMT-3","No, soy estudiante pero no puedo asistir.","25","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de grado","","","","","","Licenciatura en Ciencias Biológicas, UBA","Sí, trabajo ad honorem","Menos de 1 año","Sí, de lo contrario no hubiera ingresado a ningún laboratorio.","Tengo algunas intenciones de hacer un doctorado en el área de las neurociencias.","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Un poco de ansiedad dado que en el futuro tal vez cambie de opinión, o el hecho de no saber qué pasará más adelante."
"2022/09/07 12:30:42 PM GMT-3","Probablemente sí","26","Soy varón cis","No corresponde ninguna de las opciones anteriores","Caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología uba ","No tengo beca","Comenzando (primer o segundo año)","No quiero hacer un posdoctorado  en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.;No quiero/puedo/me interesa seguir una carrera científica por motivos personales.","Análisis de datos / programación;Tareas científicas en industrias;Tareas científicas en centros relacionados a la salud (Ej., análisis clínicos, genética, fertilidad)","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Estrés "
"2022/09/07 12:30:43 PM GMT-3","No, soy estudiante pero no puedo asistir.","24","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de grado","","","","","","Licenciatura en Ciencias Físicas, UBA","Sí, y percibo alguna remuneración económica (Ej., beca CIN)","Entre 1 y 2 años","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Quiero hacer un doctorado en el área de las neurociencias.","","","No","Haría un doctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me genera mucha ilusión y felicidad el futuro, pero viene acompañada de incertidumbre,  sobre todo por el futuro de la ciencia en nuestro país y las oportunidades de afuera que dejo pasar por quedarme. "
"2022/09/07 12:42:46 PM GMT-3","No, soy estudiante pero no puedo asistir.","32","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","30-60%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Continuaría mi carrera científica en Argentina, considero la opción de mudarme a otra ciudad.","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad"
"2022/09/07 12:47:03 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","48","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","Sí","Mi impresión es que está mas dificil conseguir becarixs/estudiantxs. Definitivamente es una situación preocupante.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad!"
"2022/09/07 1:28:57 PM GMT-3","No, soy estudiante pero no puedo asistir.","32","Soy varón cis","No corresponde ninguna de las opciones anteriores","Pehuajó, Buenos Aires","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","30-60%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Continuaría mi carrera científica en Argentina, en la misma ciudad en la que resido actualmente.","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","ansiedad"
"2022/09/07 1:32:01 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","40","Soy mujer cis","No corresponde ninguna de las opciones anteriores","caba","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","1","Sí","Me resultó más dificil la búsqueda a doctorado que para tesis de licenciatura","","","","","","","","","","","","","","","","","","","","","","","","","Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","no se a qué deciones se refieren"
"2022/09/07 1:34:08 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","44","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia;Me reconozco indígena o descendiente de pueblos indígenas u originarios","CABA","Soy investigador/a/e asistente o adjunto","Sí","Más de 4 entrevistas","Entre 2 y 4","Sí","No es algo que me preocupe. Me parece mas relevante desarrollar criterios a la hora de elegir y acompañar los procesos posteriores","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","aun me genera incertidumbre y a veces angustia"
"2022/09/07 1:39:18 PM GMT-3","No, soy estudiante pero no puedo asistir.","35","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología,  UBA","Beca CONICET","Comenzando (primer o segundo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.","Ansiedad "
"2022/09/07 1:42:36 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","51","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e independiente","Sí","Más de 4 entrevistas","Entre 2 y 4","Sí","Hay menos personas que se presentan para hacer doctorado que en años anteriores. Es un dato preocupante. Hay más competencia con otras opciones para los estudiantes.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Hay mucha incertidumbre cuando al futuro económico del país. Por ende, hay mucha chance de que la financiación de la ciencia disminuya en los próximos años. Por supuesto que eso crea problemas para pensar el futuro académico para investigadores y estudiantes."
"2022/09/07 1:44:40 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","47","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e independiente","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","Sí","Me cuesta más encontrar estudiantes interesades. Es un asunto que me preocupa.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Preocupación, impotencia, angustia, desazón."
"2022/09/07 1:47:19 PM GMT-3","Sí","33","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca AGENCIA","60-100%","Tengo muchas intenciones de ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Continuaría mi carrera científica en Argentina, en la misma ciudad en la que resido actualmente.","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Me genera angustia principalmente. El nivel de inceridumbre es muy alto."
"2022/09/07 1:52:16 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","44","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","No","Me preocupa el hecho de que alrededor mio veo que es muy dificil incorporar estudiantes para tesina/tesis de doctorado.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Angustia por la situacion actual del ambito cientifico"
"2022/09/07 1:55:48 PM GMT-3","No, soy estudiante pero no puedo asistir.","33","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Medicina, UBA","No tengo beca","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Ansiedad frente a la incertidumbre laboral"
"2022/09/07 1:56:44 PM GMT-3","No, soy estudiante pero no puedo asistir.","22","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de grado","","","","","","Licenciatura en Ciencias Biológicas, UBA","Sí, trabajo ad honorem","Menos de 1 año","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Tengo algunas intenciones de hacer un doctorado en el área de las neurociencias.","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Dudo si vale la pena insertarme en el sistema científico académico y si realmente es lo que quiero para mi carrera profesional. Me interesa la investigación pero la relación trabajo/remuneración es demasiada baja (en Argentina y en otros países, aunque en otros países la situación es un poco mejor), lo cual me hace pensar en pasarme al ámbito privado o dedicarme a otra cosa directamente. Por otro lado, es bastante cansador, viendo a mis colegas y mi jefe de laboratorio, tener que estar escribiendo cartas constantemente para aplicar a subsidios, ya que lleva mucho tiempo y es estresante. "
"2022/09/07 1:57:14 PM GMT-3","No, soy estudiante pero no me interesa la actividad.","22","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de grado","","","","","","Licenciatura en Ciencias Biológicas, UBA","Sí, y percibo alguna remuneración económica (Ej., beca CIN)","Entre 1 y 2 años","Sí, de lo contrario no hubiera ingresado a ningún laboratorio.","Quiero hacer un doctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Haría un doctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Incertidumbre "
"2022/09/07 1:58:30 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","36","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy investigador/a/e asistente o adjunto","Sí","Ninguna","Ninguna, no se presentó nadie.","No","Hay enormes dificultades para encontrar tesistas de licenciatura y doctorales, incluso en laboratorios con excelentes condiciones de financiamiento e infraestructura. El número de estudiantes que se presentan a las convocatorias es cada vez menor. Es un asunto que realmente nos preocupa. Percibo que los estudiantes no quieren seguir carrera científica argumentando las exigencias para obtener una beca doctoral, los bajos estipendios y la necesidad de sentar un compromiso por 3-5 años con un mismo lugar de trabajo. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Incertidumbre por las condiciones tan frágiles del sistema científico actual."
"2022/09/07 2:13:36 PM GMT-3","Probablemente sí","28","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","La Plata, Buenos Aires. ","Soy estudiante de doctorado","","","","","","","","","","","","","","","Ciencias Biológicas, Facultad de Cs. Exactas, Univesidad Nacional de La Plata (UNLP). ","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Me da mucha incertidumbre. "
"2022/09/07 2:14:30 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","39","Prefiero no responder esta pregunta","No corresponde ninguna de las opciones anteriores","Gran Bs. As.","Soy investigador/a/e independiente","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","Sí","En las últimas dos convocatorias CONICET presenté estudiantes que luego se fueron a Europa en vez de iniciar la beca (lo habíamos conversado previamente). Es muy difícil competir con las oportunidades en el sector privado y en el exterior, sobre todo en términos de salarios. Me preocupa mucho, no solo por la dificultad para conseguir estudiantes, sino por como los salarios bajos afectan el nivel de vida de aquellos que sí deciden aceptar una beca CONICET. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","No queda claro si se refiere a alguna decisión en particular, pero en general las decisiones sobre mi futuro profesional son estresantes en cuanto a muchas de ellas no devienen de una voluntad genuina de cambio personal, sino que son impuestas por el catastrófico estado de la ciencia y tecnología en el país."
"2022/09/07 2:25:22 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","45","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia;Me reconozco afrodescendiente o tengo un antepasado negro o africano","Bariloche, Rio Negro","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","No","Cada vez se reduce mas el numero de personas que me contacta. Sin ir mas lejos, hice un llamado de beca para un PICT ya otorgado y tengo una sola aplicante, que por suerte tiene el perfil adecuado. La situación es preocupante y mas en Bariloche, donde hay menos masa de estudiantes y un gran problema habitacional.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Habiendo instalado de cero mi laboratorio a fines de 2018, con una pandemia de por medio, y un proyecto científico que se decidió no financiar, el futuro se ve gris (siendo positiva). Pero como me hizo notar una colega recientemente: tuve la iniciativa ""titánica"" de traer ratones (y transgénicos) a Bariloche, cosa no menor. Para que la descentralización de la ciencia funcione, se necesita mayor apoyo institucional. "
"2022/09/07 2:31:10 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","39","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","Sí","No tengo experiencias previas pero la gente que me contacta o no tiene suficiente formación y tiene una edad que limita su competencia en concursos a becas,  o bien si tienen edad y formación no les cierra lo de la dedicación exclusiva","","","","","","","","","","","","","","","","","","","","","","","","","Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Siento que no tengo mucho por ofrecerles; me frustra un poco, tampoco excesivamente porque cada tanto hay alguien interesado e interesante pero son menos de os que desearía"
"2022/09/07 2:35:30 PM GMT-3","Sí","26","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologia, UBA","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","incertidumbre. un poco de incomodidad por tener que pensar a tan largo plazo, pero tambien la principal duda es si mi investigaciòn aportarà en algo significativo a la comunidad cientifica."
"2022/09/07 2:38:18 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","60","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","caba","Soy investigador/a/e principal o superior","No","No publiqué ninguna búsqueda","Entre 2 y 4","No","El número de estudiantes de grado, posgrado interesados disminuyo y entiendo que por varios motivos. Creo que uno importante es el salario que se puede percibir dedicándose a la actividad científica. ","","","","","","","","","","","","","","","","","","","","","","","","","Colegas investigadores y profesionales de otras áreas","no entiendo a que decisiones se refiere la pregunta"
"2022/09/07 2:46:58 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","44","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","No","No tengo mucha experiencia en el tema. Las dos únicas veces (una en 2015 otra en 2022) que se acercaron personas interesades en el labo debido a llamados publicados fue una vez un flyer en página de FB de estudiantes de Exactas y la 2da por la bolsa de oferta de tesis de licenciatura que tiene la facultad (FCEN-UBA). El resto fue boca a boca. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Cierto estrés si todas las alternativas son igualmente buenas o malas. No soy una persona indecisa."
"2022/09/07 2:51:14 PM GMT-3","No, soy estudiante pero no puedo asistir.","26","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","La Plata, Buenos Aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Ciencias Biológicas, UNLP","Beca AGENCIA","Más o menos en la mitad (tercer año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","No","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","incertidumbre "
"2022/09/07 2:52:09 PM GMT-3","No, soy estudiante pero no puedo asistir.","34","Mi género es no binario","Pertenezco a la comunidad LGBTIQ+","La Plata, Buenos Aires","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","Realizando un 2do posdoctorado","Tengo algunas intenciones de ingresar a carrera científica en el área de las neurociencias.","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.;Psicologa","Incertidumbre, ansiedad, estrés, frustración."
"2022/09/07 2:58:26 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","46","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","Sí","Se ve cada mes menos contacto de estudiantes interesades en realizar el doctorado y es preocupante, ademas de la cantidad de gente formada que esta dejando la investigación","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","ansiedad, frustración, impotencia"
